,Channel,Compound,Date,Negative,Neutral,Positive,Tweet_Ago
281,@nytimes,0.0,Fri Mar 09 11:02:10 +0000 2018,0.0,1.0,0.0,82
282,@nytimes,0.4019,Fri Mar 09 10:44:01 +0000 2018,0.0,0.816,0.184,83
283,@nytimes,0.34,Fri Mar 09 10:30:03 +0000 2018,0.0,0.876,0.124,84
284,@nytimes,-0.765,Fri Mar 09 10:15:09 +0000 2018,0.248,0.752,0.0,85
285,@nytimes,-0.2023,Fri Mar 09 10:00:16 +0000 2018,0.087,0.913,0.0,86
286,@nytimes,0.2732,Fri Mar 09 09:45:04 +0000 2018,0.0,0.9,0.1,87
287,@nytimes,0.0,Fri Mar 09 09:31:05 +0000 2018,0.0,1.0,0.0,88
288,@nytimes,-0.6486,Fri Mar 09 09:16:01 +0000 2018,0.261,0.739,0.0,89
289,@nytimes,0.0,Fri Mar 09 09:02:04 +0000 2018,0.0,1.0,0.0,90
290,@nytimes,0.0,Fri Mar 09 08:47:06 +0000 2018,0.0,1.0,0.0,91
291,@nytimes,0.0,Fri Mar 09 08:32:04 +0000 2018,0.0,1.0,0.0,92
292,@nytimes,0.2263,Fri Mar 09 08:17:05 +0000 2018,0.0,0.787,0.213,93
293,@nytimes,0.0,Fri Mar 09 08:02:15 +0000 2018,0.0,1.0,0.0,94
294,@nytimes,0.7351,Fri Mar 09 08:00:28 +0000 2018,0.096,0.479,0.426,95
295,@nytimes,0.5574,Fri Mar 09 07:32:05 +0000 2018,0.0,0.87,0.13,96
296,@nytimes,0.0,Fri Mar 09 07:10:35 +0000 2018,0.0,1.0,0.0,97
297,@nytimes,0.0,Fri Mar 09 06:52:52 +0000 2018,0.0,1.0,0.0,98
298,@nytimes,0.4215,Fri Mar 09 06:34:06 +0000 2018,0.0,0.859,0.141,99
299,@nytimes,0.0,Fri Mar 09 06:10:12 +0000 2018,0.0,1.0,0.0,100
300,@FoxNews,0.7269,Sat Mar 10 04:58:00 +0000 2018,0.0,0.724,0.276,1
301,@FoxNews,0.0,Sat Mar 10 04:51:25 +0000 2018,0.0,1.0,0.0,2
302,@FoxNews,-0.2023,Sat Mar 10 04:43:12 +0000 2018,0.165,0.714,0.121,3
303,@FoxNews,-0.6486,Sat Mar 10 04:26:06 +0000 2018,0.35,0.65,0.0,4
304,@FoxNews,0.0,Sat Mar 10 04:18:21 +0000 2018,0.0,1.0,0.0,5
305,@FoxNews,-0.34,Sat Mar 10 03:59:23 +0000 2018,0.112,0.888,0.0,6
306,@FoxNews,0.4939,Sat Mar 10 03:58:29 +0000 2018,0.0,0.862,0.138,7
307,@FoxNews,-0.2755,Sat Mar 10 03:54:55 +0000 2018,0.123,0.877,0.0,8
308,@FoxNews,-0.5606,Sat Mar 10 03:44:35 +0000 2018,0.256,0.63,0.113,9
309,@FoxNews,0.4404,Sat Mar 10 03:40:18 +0000 2018,0.0,0.813,0.187,10
310,@FoxNews,0.0258,Sat Mar 10 03:32:55 +0000 2018,0.11,0.776,0.114,11
311,@FoxNews,0.0,Sat Mar 10 03:28:16 +0000 2018,0.0,1.0,0.0,12
312,@FoxNews,0.0,Sat Mar 10 03:26:35 +0000 2018,0.0,1.0,0.0,13
313,@FoxNews,0.0,Sat Mar 10 03:21:54 +0000 2018,0.0,1.0,0.0,14
314,@FoxNews,0.7003,Sat Mar 10 03:12:55 +0000 2018,0.0,0.721,0.279,15
315,@FoxNews,-0.4939,Sat Mar 10 03:09:36 +0000 2018,0.314,0.686,0.0,16
316,@FoxNews,-0.93,Sat Mar 10 03:04:34 +0000 2018,0.677,0.227,0.095,17
317,@FoxNews,-0.6124,Sat Mar 10 03:01:48 +0000 2018,0.429,0.571,0.0,18
318,@FoxNews,0.0,Sat Mar 10 02:57:44 +0000 2018,0.0,1.0,0.0,19
